user,label
Train_00314,0
Train_00315,0
Train_00316,0
Train_00317,0
Train_00318,0
Train_00319,1
Train_00320,0
Train_00321,0
Train_00322,0
Train_00323,0
Train_00324,1
Train_00325,1
Train_00326,0
Train_00327,0
Train_00328,1
Train_00329,1
Train_00330,0
Train_00331,0
Train_00332,0
Train_00333,0
Train_00334,0
Train_00335,1
Train_00336,0
Train_00337,0
Train_00338,0
Train_00339,0
Train_00340,0
Train_00341,0
Train_00342,1
Train_00343,0
Train_00344,0
Train_00345,0
Train_00346,0
Train_00347,0
Train_00348,0
Train_00349,0
Train_00350,1
Train_00351,0
Train_00352,0
Train_00353,1
Train_00354,0
Train_00355,0
Train_00356,0
Train_00357,0
Train_00358,0
Train_00359,0
Train_00360,0
Train_00361,0
Train_00362,0
Train_00363,0
Train_00364,1
Train_00365,0
Train_00366,0
Train_00367,0
Train_00368,0
Train_00369,0
Train_00370,0
Train_00371,0
Train_00372,0
Train_00373,0
Train_00374,0
Train_00375,0
Train_00376,0
Train_00377,0
Train_00378,0
Train_00379,0
Train_00380,0
Train_00381,0
Train_00382,0
Train_00383,1
Train_00384,0
Train_00385,0
Train_00386,1
Train_00387,0
Train_00388,0
Train_00389,1
Train_00390,1
Train_00391,1
Train_00392,0
Train_00393,0
Train_00394,0
Train_00395,1
Train_00396,0
Train_00397,0
Train_00398,0
Train_00399,0
Train_00400,0
Train_00401,0
Train_00402,0
Train_00403,0
Train_00404,1
Train_00405,0
Train_00406,0
Train_00407,0
Train_00408,0
Train_00409,0
Train_00410,1
Train_00411,1
Train_00412,1
Train_00413,1
Train_00414,0
Train_00415,0
Train_00416,0
Train_00417,0
Train_00418,1
Train_00419,1
Train_00420,0
Train_00421,0
Train_00422,0
Train_00423,0
Train_00424,0
Train_00425,0
Train_00426,0
Train_00427,1
Train_00428,1
Train_00429,1
Train_00430,0
Train_00431,1
Train_00432,0
Train_00433,1
Train_00434,0
Train_00435,0
Train_00436,0
Train_00437,0
Train_00438,0
Train_00439,0
Train_00440,0
Train_00441,0
Train_00442,0
Train_00443,0
Train_00444,0
Train_00445,0
Train_00446,0
Train_00447,0
Train_00448,0
Train_00449,1
Train_00450,1
Train_00451,0
Train_00452,0
Train_00453,0
Train_00454,0
Train_00455,0
Train_00456,0
Train_00457,0
Train_00458,0
Train_00459,0
Train_00460,1
Train_00461,0
Train_00462,0
Train_00463,0
Train_00464,0
Train_00465,1
Train_00466,0
Train_00467,1
Train_00468,0
Train_00469,0
Train_00470,0
Train_00471,0
Train_00472,0
Train_00473,1
Train_00474,0
Train_00475,1
Train_00476,0
Train_00477,0
Train_00478,0
Train_00479,0
Train_00480,0
Train_00481,0
Train_00482,1
Train_00483,0
Train_00484,0
Train_00485,0
Train_00486,0
Train_00487,1
Train_00488,0
Train_00489,0
Train_00490,0
Train_00491,0
Train_00492,0
Train_00493,0
Train_00494,1
Train_00495,0
Train_00496,0
Train_00497,0
Train_00498,0
Train_00499,1
Train_00500,0
Train_00501,0
Train_00502,0
Train_00503,0
Train_00504,0
Train_00505,0
Train_00506,0
Train_00507,0
Train_00508,1
Train_00509,1
Train_00510,0
Train_00511,0
Train_00512,1
Train_00513,0
Train_00514,0
Train_00515,0
Train_00516,0
Train_00517,0
Train_00518,0
Train_00519,0
Train_00520,1
Train_00521,0
Train_00522,1
Train_00523,0
Train_00524,1
Train_00525,0
Train_00526,1
Train_00527,0
Train_00528,1
Train_00529,1
Train_00530,0
Train_00531,0
Train_00532,0
Train_00533,0
Train_00534,0
Train_00535,0
Train_00536,0
Train_00537,1
Train_00538,0
Train_00539,0
Train_00540,0
Train_00541,0
Train_00542,0
Train_00543,1
Train_00544,1
Train_00545,0
Train_00546,0
Train_00547,0
Train_00548,1
Train_00549,0
Train_00550,0
Train_00551,0
Train_00552,0
Train_00553,0
Train_00554,1
Train_00555,0
Train_00556,1
Train_00557,0
Train_00558,0
Train_00559,1
Train_00560,0
Train_00561,0
Train_00562,0
Train_00563,0
Train_00564,0
Train_00565,0
Train_00566,0
Train_00567,0
Train_00568,0
Train_00569,0
Train_00570,0
Train_00571,0
Train_00572,0
Train_00573,0
Train_00574,0
Train_00575,1
Train_00576,0
Train_00577,1
Train_00578,0
Train_00579,0
Train_00580,1
Train_00581,0
Train_00582,0
Train_00583,0
Train_00584,1
Train_00585,1
Train_00586,0
Train_00587,0
Train_00588,0
Train_00589,1
Train_00590,0
Train_00591,0
Train_00592,0
Train_00593,0
Train_00594,0
Train_00595,1
Train_00596,0
Train_00597,1
Train_00598,0
Train_00599,0
Train_00600,1
Train_00601,0
Train_00602,0
Train_00603,0
Train_00604,1
Train_00605,0
Train_00606,0
Train_00607,1
Train_00608,0
Train_00609,0
Train_00610,0
Train_00611,1
Train_00612,1
Train_00613,1
Train_00614,0
Train_00615,0
Train_00616,0
Train_00617,0
Train_00618,0
Train_00619,0
Train_00620,0
Train_00621,1
Train_00622,1
Train_00623,0
Train_00624,0
Train_00625,1
Train_00626,0
Train_00627,0
Train_00628,0
Train_00629,0
Train_00630,0
Train_00631,1
Train_00632,0
Train_00633,0
Train_00634,0
Train_00635,0
Train_00636,0
Train_00637,0
Train_00638,1
Train_00639,1
Train_00640,1
Train_00641,0
Train_00642,1
Train_00643,0
Train_00644,1
Train_00645,0
Train_00646,0
Train_00647,0
Train_00648,0
Train_00649,0
Train_00650,0
Train_00651,0
Train_00652,1
Train_00653,0
Train_00654,0
Train_00655,0
Train_00656,0
Train_00657,0
Train_00658,1
Train_00659,0
Train_00660,0
Train_00661,0
Train_00662,0
Train_00663,0
Train_00664,0
Train_00665,0
Train_00666,1
Train_00667,1
Train_00668,0
Train_00669,0
Train_00670,0
Train_00671,0
Train_00672,0
Train_00673,1
Train_00674,0
Train_00675,0
Train_00676,0
Train_00677,0
Train_00678,1
Train_00679,0
Train_00680,0
Train_00681,0
Train_00682,0
Train_00683,0
Train_00684,0
Train_00685,0
Train_00686,0
Train_00687,0
Train_00688,1
Train_00689,0
Train_00690,1
Train_00691,0
Train_00692,0
Train_00693,1
Train_00694,0
Train_00695,0
Train_00696,0
Train_00697,0
Train_00698,0
Train_00699,0
Train_00700,0
Train_00701,0
Train_00702,0
Train_00703,1
Train_00704,0
Train_00705,1
Train_00706,1
Train_00707,0
Train_00708,0
Train_00709,0
Train_00710,0
Train_00711,0
Train_00712,0
Train_00713,0
Train_00714,0
Train_00715,0
Train_00716,0
Train_00717,0
Train_00718,1
Train_00719,0
Train_00720,0
Train_00721,0
Train_00722,0
Train_00723,0
Train_00724,0
Train_00725,0
Train_00726,1
Train_00727,0
Train_00728,0
Train_00729,0
Train_00730,0
Train_00731,0
Train_00732,0
Train_00733,1
Train_00734,1
Train_00735,0
Train_00736,0
Train_00737,0
Train_00738,0
Train_00739,1
Train_00740,1
Train_00741,0
Train_00742,0
Train_00743,0
Train_00744,0
Train_00745,1
Train_00746,0
Train_00747,0
Train_00748,0
Train_00749,0
Train_00750,0
Train_00751,0
Train_00752,0
Train_00753,0
Train_00754,0
Train_00755,1
Train_00756,0
Train_00757,0
Train_00758,1
Train_00759,0
Train_00760,0
Train_00761,1
Train_00762,0
Train_00763,0
Train_00764,0
Train_00765,0
Train_00766,0
Train_00767,0
Train_00768,0
Train_00769,1
Train_00770,0
Train_00771,1
Train_00772,0
Train_00773,1
Train_00774,0
Train_00775,0
Train_00776,0
Train_00777,1
Train_00778,0
Train_00779,0
Train_00780,1
Train_00781,0
Train_00782,0
Train_00783,0
Train_00784,0
Train_00785,1
Train_00786,1
Train_00787,1
Train_00788,0
Train_00789,0
Train_00790,0
Train_00791,0
Train_00792,1
Train_00793,0
Train_00794,0
Train_00795,0
Train_00796,0
Train_00797,0
Train_00798,1
Train_00799,0
Train_00800,0
Train_00801,0
Train_00802,0
Train_00803,0
Train_00804,0
Train_00805,1
Train_00806,0
Train_00807,1
Train_00808,0
Train_00809,1
Train_00810,0
Train_00811,0
Train_00812,0
Train_00813,0
Train_00814,0
Train_00815,0
Train_00816,0
Train_00817,0
Train_00818,0
Train_00819,1
Train_00820,0
Train_00821,0
Train_00822,1
Train_00823,0
Train_00824,0
Train_00825,0
Train_00826,1
Train_00827,0
Train_00828,1
Train_00829,0
Train_00830,0
Train_00831,1
Train_00832,0
Train_00833,0
Train_00834,1
Train_00835,0
Train_00836,1
Train_00837,0
Train_00838,0
Train_00839,1
Train_00840,0
Train_00841,1
Train_00842,0
Train_00843,0
Train_00844,0
Train_00845,1
Train_00846,0
Train_00847,0
Train_00848,0
Train_00849,0
Train_00850,0
Train_00851,1
Train_00852,0
Train_00853,0
Train_00854,0
Train_00855,0
Train_00856,0
Train_00857,0
Train_00858,0
Train_00859,1
Train_00860,0
Train_00861,0
Train_00862,0
Train_00863,0
Train_00864,0
Train_00865,1
Train_00866,0
Train_00867,0
Train_00868,0
Train_00869,0
Train_00870,0
Train_00871,0
Train_00872,1
Train_00873,0
Train_00874,0
Train_00875,0
Train_00876,0
Train_00877,0
Train_00878,0
Train_00879,0
Train_00880,1
Train_00881,0
Train_00882,0
Train_00883,0
Train_00884,0
Train_00885,0
Train_00886,0
Train_00887,0
Train_00888,0
Train_00889,1
Train_00890,0
Train_00891,0
Train_00892,0
Train_00893,0
Train_00894,0
Train_00895,0
Train_00896,0
Train_00897,0
Train_00898,1
Train_00899,0
Train_00900,1
Train_00901,0
Train_00902,0
Train_00903,0
Train_00904,0
Train_00905,1
Train_00906,0
Train_00907,0
Train_00908,0
Train_00909,1
Train_00910,0
Train_00911,0
Train_00912,0
Train_00913,0
Train_00914,1
Train_00915,1
Train_00916,0
Train_00917,0
Train_00918,1
Train_00919,0
Train_00920,1
Train_00921,0
Train_00922,0
Train_00923,0
Train_00924,0
Train_00925,1
Train_00926,0
Train_00927,0
Train_00928,0
Train_00929,0
Train_00930,0
Train_00931,0
Train_00932,1
Train_00933,0
Train_00934,1
Train_00935,0
Train_00936,1
Train_00937,0
Train_00938,0
Train_00939,0
Train_00940,0
Train_00941,0
Train_00942,0
Train_00943,1
Train_00944,0
Train_00945,0
Train_00946,0
Train_00947,0
Train_00948,1
Train_00949,1
Train_00950,1
Train_00951,0
Train_00952,0
Train_00953,0
Train_00954,1
Train_00955,1
Train_00956,0
Train_00957,1
Train_00958,1
Train_00959,1
Train_00960,1
Train_00961,1
Train_00962,1
Train_00963,0
Train_00964,0
Train_00965,1
Train_00966,0
Train_00967,1
Train_00968,0
Train_00969,1
Train_00970,0
Train_00971,0
Train_00972,0
Train_00973,1
Train_00974,0
Train_00975,0
Train_00976,1
Train_00977,0
Train_00978,0
Train_00979,0
Train_00980,0
Train_00981,0
Train_00982,0
Train_00983,0
Train_00984,0
Train_00985,0
Train_00986,0
Train_00987,0
Train_00988,0
Train_00989,0
Train_00990,0
Train_00991,0
Train_00992,1
Train_00993,0
Train_00994,0
Train_00995,0
Train_00996,0
Train_00997,0
Train_00998,1
Train_00999,0
Train_01000,1
Train_01001,0
Train_01002,0
Train_01003,0
Train_01004,0
Train_01005,0
Train_01006,0
Train_01007,0
Train_01008,0
Train_01009,0
Train_01010,1
Train_01011,1
Train_01012,0
Train_01013,0
Train_01014,0
Train_01015,0
Train_01016,0
Train_01017,1
Train_01018,0
Train_01019,0
Train_01020,0
Train_01021,0
Train_01022,1
Train_01023,1
Train_01024,1
Train_01025,0
Train_01026,0
Train_01027,0
Train_01028,0
Train_01029,0
Train_01030,0
Train_01031,0
Train_01032,0
Train_01033,0
Train_01034,0
Train_01035,0
Train_01036,0
Train_01037,1
Train_01038,1
Train_01039,0
Train_01040,0
Train_01041,1
Train_01042,0
Train_01043,0
Train_01044,0
Train_01045,0
Train_01046,1
Train_01047,0
Train_01048,0
Train_01049,0
Train_01050,0
Train_01051,0
Train_01052,1
Train_01053,0
Train_01054,0
Train_01055,0
Train_01056,0
Train_01057,0
Train_01058,1
Train_01059,1
Train_01060,0
Train_01061,1
Train_01062,0
Train_01063,0
Train_01064,0
Train_01065,1
Train_01066,0
Train_01067,1
Train_01068,1
Train_01069,0
Train_01070,0
Train_01071,1
Train_01072,1
Train_01073,1
Train_01074,0
Train_01075,1
Train_01076,0
Train_01077,1
Train_01078,0
Train_01079,1
Train_01080,1
Train_01081,0
Train_01082,0
Train_01083,0
Train_01084,1
Train_01085,0
Train_01086,1
Train_01087,0
Train_01088,0
Train_01089,1
Train_01090,0
Train_01091,0
Train_01092,0
Train_01093,0
Train_01094,1
Train_01095,0
Train_01096,0
Train_01097,1
Train_01098,0
Train_01099,0
Train_01100,0
Train_01101,0
Train_01102,0
Train_01103,1
Train_01104,1
Train_01105,0
Train_01106,0
Train_01107,0
Train_01108,0
Train_01109,0
Train_01110,0
Train_01111,1
Train_01112,0
Train_01113,0
Train_01114,0
Train_01115,0
Train_01116,1
Train_01117,1
Train_01118,0
Train_01119,0
Train_01120,0
Train_01121,0
Train_01122,0
Train_01123,0
Train_01124,0
Train_01125,0
Train_01126,0
Train_01127,0
Train_01128,0
Train_01129,0
Train_01130,0
Train_01131,0
Train_01132,0
Train_01133,0
Train_01134,0
Train_01135,0
Train_01136,0
Train_01137,1
Train_01138,0
Train_01139,0
Train_01140,0
Train_01141,0
Train_01142,1
Train_01143,0
Train_01144,1
Train_01145,0
Train_01146,0
Train_01147,1
Train_01148,0
Train_01149,0
Train_01150,1
Train_01151,0
Train_01152,1
Train_01153,0
Train_01154,0
Train_01155,0
Train_01156,1
Train_01157,0
Train_01158,0
Train_01159,0
Train_01160,0
Train_01161,0
Train_01162,0
Train_01163,1
Train_01164,0
Train_01165,1
Train_01166,0
Train_01167,0
Train_01168,0
Train_01169,0
Train_01170,0
Train_01171,1
Train_01172,1
Train_01173,0
Train_01174,0
Train_01175,0
Train_01176,0
Train_01177,0
Train_01178,1
Train_01179,0
Train_01180,0
Train_01181,0
Train_01182,0
Train_01183,1
Train_01184,0
Train_01185,1
Train_01186,0
Train_01187,1
Train_01188,0
Train_01189,0
Train_01190,0
Train_01191,0
Train_01192,0
Train_01193,0
Train_01194,0
Train_01195,1
Train_01196,1
Train_01197,0
Train_01198,1
Train_01199,0
Train_01200,0
Train_01201,1
Train_01202,1
Train_01203,0
Train_01204,0
Train_01205,0
Train_01206,1
Train_01207,1
Train_01208,0
Train_01209,0
Train_01210,0
Train_01211,0
Train_01212,0
Train_01213,0
Train_01214,0
Train_01215,0
Train_01216,0
Train_01217,0
Train_01218,0
Train_01219,0
Train_01220,0
Train_01221,0
Train_01222,0
Train_01223,0
Train_01224,0
Train_01225,0
Train_01226,1
Train_01227,0
Train_01228,1
Train_01229,0
Train_01230,0
Train_01231,0
Train_01232,0
Train_01233,0
Train_01234,0
Train_01235,0
Train_01236,0
Train_01237,0
Train_01238,0
Train_01239,0
Train_01240,0
Train_01241,0
Train_01242,0
Train_01243,1
Train_01244,1
Train_01245,0
Train_01246,0
Train_01247,0
Train_01248,0
Train_01249,1
Train_01250,1
Train_01251,0
Train_01252,1
Train_01253,0
Train_01254,1
Train_01255,0
Train_01256,1
Train_01257,1
Train_01258,0
Train_01259,0
Train_01260,0
Train_01261,0
Train_01262,0
Train_01263,0
Train_01264,0
Train_01265,0
Train_01266,1
Train_01267,0
Train_01268,0
Train_01269,1
Train_01270,1
Train_01271,0
Train_01272,0
Train_01273,0
Train_01274,0
Train_01275,1
Train_01276,0
Train_01277,0
Train_01278,0
Train_01279,0
Train_01280,0
Train_01281,0
Train_01282,0
Train_01283,1
Train_01284,0
Train_01285,0
Train_01286,0
Train_01287,0
Train_01288,0
Train_01289,0
Train_01290,1
Train_01291,0
Train_01292,0
Train_01293,0
Train_01294,1
Train_01295,1
Train_01296,0
Train_01297,0
Train_01298,1
Train_01299,0
Train_01300,0
Train_01301,0
Train_01302,0
Train_01303,0
Train_01304,1
Train_01305,0
Train_01306,0
Train_01307,1
Train_01308,0
Train_01309,0
Train_01310,0
Train_01311,0
Train_01312,1
Train_01313,0
Train_01314,0
Train_01315,0
Train_01316,0
Train_01317,0
Train_01318,1
Train_01319,1
Train_01320,0
Train_01321,0
Train_01322,0
Train_01323,1
Train_01324,1
Train_01325,0
Train_01326,0
Train_01327,0
Train_01328,0
Train_01329,0
Train_01330,0
Train_01331,1
Train_01332,0
Train_01333,1
Train_01334,1
Train_01335,1
Train_01336,0
Train_01337,1
Train_01338,0
Train_01339,0
Train_01340,1
Train_01341,0
Train_01342,0
Train_01343,0
Train_01344,0
Train_01345,0
Train_01346,0
Train_01347,0
Train_01348,0
Train_01349,0
Train_01350,0
Train_01351,0
Train_01352,1
Train_01353,1
Train_01354,0
Train_01355,1
Train_01356,0
Train_01357,0
Train_01358,0
Train_01359,0
Train_01360,1
Train_01361,0
Train_01362,0
Train_01363,0
Train_01364,0
Train_01365,0
Train_01366,0
Train_01367,0
Train_01368,0
Train_01369,0
Train_01370,0
Train_01371,0
Train_01372,0
Train_01373,0
Train_01374,1
Train_01375,0
Train_01376,0
Train_01377,0
Train_01378,0
Train_01379,0
Train_01380,0
Train_01381,1
Train_01382,0
Train_01383,0
Train_01384,0
Train_01385,0
Train_01386,0
Train_01387,1
Train_01388,0
Train_01389,0
Train_01390,0
Train_01391,0
Train_01392,1
Train_01393,0
Train_01394,0
Train_01395,0
Train_01396,1
Train_01397,0
Train_01398,0
Train_01399,0
Train_01400,0
Train_01401,0
Train_01402,1
Train_01403,0
Train_01404,1
Train_01405,0
Train_01406,1
Train_01407,0
Train_01408,1
Train_01409,1
Train_01410,0
Train_01411,1
Train_01412,0
Train_01413,0
Train_01414,0
Train_01415,0
Train_01416,1
Train_01417,0
Train_01418,1
Train_01419,0
Train_01420,0
Train_01421,0
Train_01422,0
Train_01423,1
Train_01424,0
Train_01425,0
Train_01426,0
Train_01427,0
Train_01428,1
Train_01429,0
Train_01430,1
Train_01431,1
Train_01432,0
Train_01433,1
Train_01434,0
Train_01435,0
Train_01436,0
Train_01437,0
Train_01438,1
Train_01439,0
Train_01440,1
Train_01441,0
Train_01442,1
Train_01443,0
Train_01444,0
Train_01445,0
Train_01446,1
Train_01447,1
Train_01448,1
Train_01449,0
Train_01450,0
Train_01451,0
Train_01452,0
Train_01453,0
Train_01454,0
Train_01455,0
Train_01456,0
Train_01457,1
Train_01458,0
Train_01459,0
Train_01460,0
Train_01461,0
Train_01462,0
Train_01463,0
Train_01464,0
Train_01465,0
Train_01466,0
Train_01467,0
Train_01468,0
Train_01469,0
Train_01470,0
Train_01471,0
Train_01472,0
Train_01473,0
Train_01474,0
Train_01475,1
Train_01476,0
Train_01477,1
Train_01478,0
Train_01479,0
Train_01480,0
Train_01481,0
Train_01482,0
Train_01483,0
Train_01484,0
Train_01485,0
Train_01486,0
Train_01487,0
Train_01488,0
Train_01489,0
Train_01490,0
Train_01491,0
Train_01492,0
Train_01493,0
Train_01494,0
Train_01495,0
Train_01496,0
Train_01497,0
Train_01498,0
Train_01499,0
Train_01500,1
Train_01501,1
Train_01502,0
Train_01503,0
Train_01504,0
Train_01505,1
Train_01506,0
Train_01507,1
Train_01508,0
Train_01509,0
Train_01510,0
Train_01511,0
Train_01512,0
Train_01513,1
Train_01514,1
Train_01515,1
Train_01516,0
Train_01517,0
Train_01518,0
Train_01519,0
Train_01520,0
Train_01521,0
Train_01522,1
Train_01523,1
Train_01524,0
Train_01525,0
Train_01526,0
Train_01527,0
Train_01528,0
Train_01529,1
Train_01530,0
Train_01531,0
Train_01532,1
Train_01533,1
Train_01534,0
Train_01535,0
Train_01536,0
Train_01537,0
Train_01538,0
Train_01539,0
Train_01540,1
Train_01541,0
Train_01542,0
Train_01543,0
Train_01544,0
Train_01545,0
Train_01546,0
Train_01547,1
Train_01548,0
Train_01549,0
Train_01550,0
Train_01551,0
Train_01552,0
Train_01553,0
Train_01554,0
Train_01555,0
Train_01556,1
Train_01557,0
Train_01558,1
Train_01559,0
Train_01560,0
Train_01561,0
Train_01562,0
Train_01563,0
Train_01564,0
Train_01565,0
Train_01566,0
Train_01567,1
Train_01568,0
Train_01569,0
Train_01570,0
Train_01571,0
Train_01572,0
Train_01573,1
Train_01574,0
Train_01575,0
Train_01576,1
Train_01577,1
Train_01578,0
Train_01579,0
Train_01580,1
Train_01581,0
Train_01582,0
Train_01583,0
Train_01584,0
Train_01585,1
Train_01586,1
Train_01587,0
Train_01588,0
Train_01589,0
Train_01590,0
Train_01591,0
Train_01592,1
Train_01593,0
Train_01594,1
Train_01595,0
Train_01596,0
Train_01597,0
Train_01598,0
Train_01599,1
Train_01600,0
Train_01601,0
Train_01602,0
Train_01603,0
Train_01604,0
Train_01605,1
Train_01606,0
Train_01607,0
Train_01608,0
Train_01609,0
Train_01610,0
Train_01611,0
Train_01612,1
Train_01613,0
Train_01614,1
Train_01615,0
Train_01616,0
Train_01617,0
Train_01618,0
Train_01619,0
Train_01620,0
Train_01621,0
Train_01622,0
Train_01623,1
Train_01624,0
Train_01625,0
Train_01626,0
Train_01627,1
Train_01628,1
Train_01629,0
Train_01630,1
Train_01631,0
Train_01632,0
Train_01633,0
Train_01634,0
Train_01635,0
Train_01636,1
Train_01637,0
Train_01638,0
Train_01639,0
Train_01640,0
Train_01641,0
Train_01642,0
Train_01643,1
Train_01644,0
Train_01645,0
Train_01646,1
Train_01647,0
Train_01648,0
Train_01649,1
Train_01650,0
Train_01651,0
Train_01652,0
Train_01653,0
Train_01654,0
Train_01655,1
Train_01656,0
Train_01657,0
Train_01658,0
Train_01659,0
Train_01660,0
Train_01661,1
Train_01662,1
Train_01663,1
Train_01664,0
Train_01665,1
Train_01666,0
Train_01667,1
Train_01668,0
Train_01669,0
Train_01670,0
Train_01671,1
Train_01672,1
Train_01673,0
Train_01674,0
Train_01675,0
Train_01676,0
Train_01677,0
Train_01678,0
Train_01679,0
Train_01680,0
Train_01681,1
Train_01682,0
Train_01683,0
Train_01684,0
Train_01685,0
Train_01686,0
Train_01687,1
Train_01688,1
Train_01689,0
Train_01690,0
Train_01691,1
Train_01692,0
Train_01693,0
Train_01694,0
Train_01695,0
Train_01696,1
Train_01697,0
Train_01698,0
Train_01699,0
Train_01700,0
Train_01701,0
Train_01702,0
Train_01703,0
Train_01704,1
Train_01705,1
Train_01706,1
Train_01707,0
Train_01708,0
Train_01709,1
Train_01710,1
Train_01711,0
Train_01712,0
Train_01713,0
Train_01714,1
Train_01715,0
Train_01716,0
Train_01717,1
Train_01718,0
Train_01719,0
Train_01720,0
Train_01721,1
Train_01722,1
Train_01723,0
Train_01724,1
Train_01725,0
Train_01726,1
Train_01727,0
Train_01728,0
Train_01729,0
Train_01730,0
Train_01731,0
Train_01732,0
Train_01733,0
Train_01734,0
Train_01735,0
Train_01736,0
Train_01737,0
Train_01738,0
Train_01739,0
Train_01740,0
Train_01741,0
Train_01742,1
Train_01743,0
Train_01744,1
Train_01745,0
Train_01746,1
Train_01747,0
Train_01748,0
